name_fr,Afek Tounes,3ich Tounsi,Al Badil,Parti amal,Beni Watani,Coalisation Kolna lil Watan,Amal wa 3amal,Coalition Karama,Ennahdha,Front populaire,Partie Front populaire,Parti Rahma,Tayar Ma7abba,Machrou3 Tounes,harakt el chaab,Nidaa Tounes,PDL,Qalb Tounes,Tahya Tounes,Tayar,UPR,UDS,PSD,Outsider 1,Outsider 2,Autres,Blancs,Nuls
Tunis 1,1598,3195,815,356,342,409,1397,9898,29662,1011,1209,6784,552,585,3106,1284,8613,20804,4196,14505,3043,1837,NA,NA,NA,10848,1310,2399
Tunis 2,2635,3726,1419,409,735,NA,1908,7255,22947,973,1182,5341,532,1767,1843,1218,26079,34123,10220,16055,4377,1365,NA,7659,NA,10551,1306,1725
Ariana,4087,3422,824,949,542,468,1988,8978,25356,1415,1239,6646,583,1021,3866,2526,16722,27431,6110,14195,4376,911,NA,NA,NA,12020,1066,1675
Manouba,1128,1335,581,294,223,353,1187,6091,18866,855,664,4615,312,877,4088,1500,3711,15297,2678,7080,3058,913,NA,NA,NA,14586,911,1762
Ben Arous,2417,2773,682,637,723,532,2608,12482,33442,1569,1943,12127,645,1725,4576,881,13569,26841,7893,18937,6689,747,NA,NA,NA,27294,1343,2257
Zaghouane,404,969,699,1422,83,750,816,600,6304,335,351,1446,382,1144,991,2272,2012,4873,1641,1459,NA,938,NA,1788,1336,15411,626,1156
Jendouba,171,1022,312,485,344,1209,725,2892,11798,597,4057,NA,179,924,4849,663,1714,17633,4009,1209,NA,434,NA,2787,NA,19000,1051,2847
Le Kef,355,562,1230,494,398,907,250,1122,7531,962,1014,NA,303,1766,1978,469,1324,13085,1006,1872,1499,408,206,1463,NA,14831,730,1958
Siliana,638,339,376,695,219,478,1369,1307,5813,1408,389,NA,152,NA,1645,660,2690,5745,2732,1117,575,620,NA,2969,2316,16833,666,1741
Bizerte,3488,4670,665,2070,519,1102,1910,9567,25283,1476,448,1711,913,1247,2714,2320,6156,32938,4998,7722,3598,745,NA,2095,NA,14458,1551,2550
